,summary,config,name
fhn-old
1,"{'_runtime': 6888.7235276, '_step': 93, '_timestamp': 1742840120.159695, '_wandb': {'runtime': 6890}, 'batch_size': 256, 'best_epoch': 73, 'best_test': 0.030052300833631307, 'best_train': 0.02029415260706293, 'best_val': 0.036439133255044, 'epoch': 93, 'lr': 0.00025, 'n_epochs': 200, 'test_loss': 0.025896803970681503, 'time': 6866.352095603943, 'train_loss': 0.01600103479761042, 'val_loss': 0.04088959353975952}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'old', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 24, 'control_rnn_depth': 1, 'discretisation_mode': 'exact'}",fhn_001--set_4-old--error
2,"{'_runtime': 13967.7160078, '_step': 127, '_timestamp': 1742439179.7070515, '_wandb': {'runtime': 13968}, 'batch_size': 128, 'best_epoch': 107, 'best_test': 0.026796013301622772, 'best_train': 0.022122922061484248, 'best_val': 0.03483917065970008, 'coeff_train': 0, 'epoch': 127, 'lr': 0.000125, 'n_epochs': 500, 'test_loss': 0.02568249670892126, 'time': 13939.861764431, 'train_loss': 0.019775001585936893, 'val_loss': 0.03675157647757303}","{'lr': 0.0005, 'loss': 'mse', 'es_delta': 1e-07, 'n_epochs': 500, 'batch_size': 128, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 1, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 1, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 20, 'control_rnn_depth': 1, 'discretisation_mode': 'FE'}",052___fhn-default-code
3,"{'_runtime': 7848.923654686, '_step': 115, '_timestamp': 1742556992.6555638, '_wandb': {'runtime': 7849}, 'batch_size': 256, 'best_epoch': 95, 'best_test': 0.03578539553564042, 'best_train': 0.012222266184950346, 'best_val': 0.031619106186553836, 'coeff_train': 0, 'epoch': 115, 'lr': 0.00025, 'n_epochs': 200, 'test_loss': 0.02979799290187657, 'time': 7834.196428775787, 'train_loss': 0.008440809986112933, 'val_loss': 0.0350145691918442}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_rnn': 'old', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 24, 'control_rnn_depth': 1, 'discretisation_mode': 'exact'}",060___fhn-set4-old
4,"{'_runtime': 6888.7235276, '_step': 93, '_timestamp': 1742840120.159695, '_wandb': {'runtime': 6890}, 'batch_size': 256, 'best_epoch': 73, 'best_test': 0.030052300833631307, 'best_train': 0.02029415260706293, 'best_val': 0.036439133255044, 'epoch': 93, 'lr': 0.00025, 'n_epochs': 200, 'test_loss': 0.025896803970681503, 'time': 6866.352095603943, 'train_loss': 0.01600103479761042, 'val_loss': 0.04088959353975952}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'old', 'n_epochs': 200, 'batch_size': 256, 'es_patience': 20, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 2, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'alpha', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 24, 'control_rnn_depth': 1, 'discretisation_mode': 'exact'}",fhn_001--set_4-old

fhn-new
1,"{'_runtime': 58966.572254067, '_step': 94, '_timestamp': 1743411257.666676, '_wandb': {'runtime': 59197}, 'batch_size': 96, 'best_epoch': 76, 'best_test': 0.03724191639949346, 'best_train': 0.004125700394358737, 'best_val': 0.031126856781719697, 'epoch': 94, 'lr': 0.0001111111111111111, 'n_epochs': 200, 'test_loss': 0.036265620593136795, 'time': 58922.435863256454, 'train_loss': 0.0025477649229172145, 'val_loss': 0.03658473332151992}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'discretisation_mode': 'BE'}",fhn_data1
2,"{'_runtime': 58730.57815023, '_step': 93, '_timestamp': 1743411037.5875905, '_wandb': {'runtime': 59187}, 'batch_size': 96, 'best_epoch': 76, 'best_test': 0.01736864062522294, 'best_train': 0.004084786877640346, 'best_val': 0.01358990067993069, 'epoch': 93, 'lr': 0.0001111111111111111, 'n_epochs': 200, 'test_loss': 0.018627867985439178, 'time': 58661.59649896622, 'train_loss': 0.0023485208117303307, 'val_loss': 0.018732920223902463}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'discretisation_mode': 'BE'}",fhn_data2
3,"{'_runtime': 58769.159830507, '_step': 93, '_timestamp': 1743411090.4448364, '_wandb': {'runtime': 59177}, 'batch_size': 96, 'best_epoch': 73, 'best_test': 0.024159731533256405, 'best_train': 0.005657459750802936, 'best_val': 0.030100202246103436, 'epoch': 93, 'lr': 3.703703703703703e-05, 'n_epochs': 200, 'test_loss': 0.024601730412714892, 'time': 58691.22557973862, 'train_loss': 0.004809188063114157, 'val_loss': 0.03199669888237536}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'discretisation_mode': 'BE'}",fhn_data3
4,"{'_runtime': 45741.3967774, '_step': 146, '_timestamp': 1743398083.0835974, '_wandb': {'runtime': 45743}, 'batch_size': 96, 'best_epoch': 121, 'best_test': 0.035198770729558806, 'best_train': 0.00366564092594975, 'best_val': 0.018438164311062013, 'epoch': 146, 'lr': 1.2345679012345677e-05, 'n_epochs': 200, 'test_loss': 0.03412792418246335, 'time': 45692.4276573658, 'train_loss': 0.0029430403720609667, 'val_loss': 0.01969535001470441}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'discretisation_mode': 'BE'}",fhn_data4
5,"{'_runtime': 26898.9953946, '_step': 71, '_timestamp': 1743379258.872769, '_wandb': {'runtime': 26900}, 'batch_size': 96, 'best_epoch': 46, 'best_test': 0.044123627833046374, 'best_train': 0.011184388936112916, 'best_val': 0.03384956796210082, 'epoch': 71, 'lr': 3.703703703703703e-05, 'n_epochs': 200, 'test_loss': 0.048184874367767146, 'time': 26844.061830997467, 'train_loss': 0.0063612531207221015, 'val_loss': 0.03975188188875715}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'discretisation_mode': 'BE'}",fhn_data5

vdp-new (tests)
1,"{'_runtime': 90616.618852438, '_step': 99, '_timestamp': 1743549251.0139976, '_wandb': {'runtime': 91010}, 'batch_size': 96, 'best_epoch': 84, 'best_test': 0.02921846113167703, 'best_train': 0.005296616098983953, 'best_val': 0.04692391270682925, 'epoch': 99, 'lr': 1.2345679012345677e-05, 'n_epochs': 200, 'test_loss': 0.029662611628217355, 'time': 90576.1592066288, 'train_loss': 0.005159563657509843, 'val_loss': 0.05050486962621411}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'discretisation_mode': 'BE'}",vdp__new-dis_BE
2,"{'_runtime': 78857.764394667, '_step': 72, '_timestamp': 1743537539.2376275, '_wandb': {'runtime': 78859}, 'batch_size': 96, 'best_epoch': 47, 'best_test': 0.03671764322955694, 'best_train': 0.010144764396716795, 'best_val': 0.04517980077348295, 'epoch': 72, 'lr': 3.703703703703703e-05, 'n_epochs': 200, 'test_loss': 0.0360518212297133, 'time': 78741.46085214615, 'train_loss': 0.0056815358619796965, 'val_loss': 0.05790187414025977}","{'lr': 0.001, 'loss': 'mse', 'es_delta': 1e-07, 'mode_dnn': 'FFNet', 'mode_rnn': 'new', 'n_epochs': 200, 'batch_size': 96, 'es_patience': 25, 'decoder_size': 2, 'encoder_size': 2, 'sched_factor': 3, 'decoder_depth': 2, 'encoder_depth': 2, 'x_update_mode': 'entropy', 'optimiser_mode': 'adam', 'sched_patience': 10, 'control_rnn_size': 48, 'control_rnn_depth': 1, 'discretisation_mode': 'exact'}",vdp__new-dis_exact
